ceeb_id,name,latitude,longitude,inst,city,county,state,country
52484,OAKLAND UNITY HIGH SCHOOL,37.773552,-122.184786,HS,Oakland,Alameda,CA,USA
20002,EAST ANCHORAGE HIGH SCHOOL,61.199736,-149.804222,HS,Anchorage,,AK,USA
694273,HANGZHOU FOREIGN LANGUAGES SCH,30.219962,120.035208,HS,Hangzhou,,,CHINA
53603,DR JAMES J HOGAN HIGH SCHOOL,38.101394,-122.215774,HS,Vallejo,Solano,CA,USA
54846,ILEAD HYBRID,34.186082,-118.453497,HS,Van Nuys,Los Angeles,CA,USA
53698,EAGLES PEAK CHARTER SCHOOL,33.172999,-117.219979,HS,Vista,San Diego,CA,USA
54799,COLLEGE BRIDGE ACADEMY,33.94338,-118.239813,HS,Los Angeles,Los Angeles,CA,USA
52895,STEPHEN W KEARNY HIGH SCHOOL,32.800175,-117.160542,HS,San Diego,San Diego,CA,USA
54235,ANIMO LOCKE TECH CHARTER HS,33.918014,-118.264471,HS,Los Angeles,Los Angeles,CA,USA
694274,CHENGDU FOREIGN LANGUAGE SCH,30.73358,103.981168,HS,Chengdu,,,CHINA
694541,GUANGDONG COUNTRY GARDEN SCH,22.943743,113.275307,HS,Shenzhen,,,CHINA
694534,GUANGZHOU NO 6 HIGH SCHOOL,23.097321,113.307083,HS,Guangzhou,,,CHINA
20000,WEST ANCHORAGE HIGH SCHOOL,61.199717,-149.91657,HS,Anchorage,,AK,USA
20001,BARTLETT HIGH SCHOOL,61.232308,-149.733224,HS,Anchorage,,AK,USA
30541,CIENEGA HIGH SCHOOL,32.057408,-110.721952,HS,Vail,,AZ,USA
30544,WILLOW CANYON HIGH SCHOOL,33.635233,-112.443197,HS,Surprise,,AZ,USA
697006,ABU DHABI INTERNATIONAL SCHOOL,24.429655,54.431307,HS,Abu Dhabi,,,UAE
50003,AGOURA HIGH SCHOOL,34.150396,-118.748879,HS,Agoura Hills,Los Angeles,CA,USA
50006,OAK PARK HIGH SCHOOL,34.180259,-118.763754,HS,Oak Park,Ventura,CA,USA
50008,VASQUEZ HIGH SCHOOL,34.493484,-118.21636,HS,Acton,Los Angeles,CA,USA
50015,ENCINAL HIGH SCHOOL,37.772635,-122.289529,HS,Alameda,Alameda,CA,USA
30256,CENTENNIAL HIGH SCHOOL,35.398269,-119.097976,HS,Peoria,,AZ,USA
