Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,15,73742,6009609,Kern,Sierra Sands Unified,Inyokern Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,183,128,69.90%,142,77.60%,179,125,69.80%,139,77.70%,Y
2015-2016,15,73742,6009617,Kern,Sierra Sands Unified,James Monroe Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,518,260,50.20%,308,59.50%,518,260,50.20%,308,59.50%,Y
2015-2016,15,73742,6009625,Kern,Sierra Sands Unified,Las Flores Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,506,214,42.30%,259,51.20%,503,213,42.30%,258,51.30%,Y
2015-2016,15,73742,6009633,Kern,Sierra Sands Unified,Faller Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,448,264,58.90%,294,65.60%,443,260,58.70%,290,65.50%,Y
2015-2016,15,73742,6009971,Kern,Sierra Sands Unified,Rand Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,3,10,7,70.00%,8,80.00%,10,7,70.00%,8,80.00%,Y
2015-2016,15,73742,6110712,Kern,Sierra Sands Unified,Gateway Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,423,185,43.70%,221,52.20%,415,181,43.60%,216,52.00%,Y
2015-2016,15,73908,1530146,Kern,McFarland Unified,San Joaquin High (Continuation),Unified School District,Continuation High Schools,Continuation School,Provision 2,N,,,N,9,12,40,30,75.00%,33,82.50%,32,24,75.00%,27,84.40%,Y
2015-2016,15,73908,1530229,Kern,McFarland Unified,McFarland Independent,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,9,12,13,8,61.50%,8,61.50%,10,6,60.00%,6,60.00%,Y
2015-2016,15,73908,1534155,Kern,McFarland Unified,McFarland High,Unified School District,High Schools (Public),Traditional,Provision 2,N,,,N,9,12,860,596,69.30%,717,83.40%,846,587,69.40%,705,83.30%,Y
2015-2016,15,73908,6009757,Kern,McFarland Unified,Browning Road Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,664,533,80.30%,610,91.90%,652,524,80.40%,599,91.90%,Y
2015-2016,15,73908,6009765,Kern,McFarland Unified,Kern Avenue Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,1171,842,71.90%,1036,88.50%,1158,834,72.00%,1027,88.70%,Y
2015-2016,15,73908,6106306,Kern,McFarland Unified,McFarland Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,Provision 2,N,,,N,6,8,796,603,75.80%,726,91.20%,796,603,75.80%,726,91.20%,Y
2015-2016,15,75168,1530401,Kern,El Tejon Unified,Frazier Mountain High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,286,144,50.30%,161,56.30%,278,138,49.60%,155,55.80%,Y
2015-2016,15,75168,6009468,Kern,El Tejon Unified,El Tejon Elementary,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,5,8,218,121,55.50%,139,63.80%,218,121,55.50%,139,63.80%,Y
2015-2016,15,75168,6009476,Kern,El Tejon Unified,Frazier Park Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,4,260,151,58.10%,172,66.20%,254,149,58.70%,170,66.90%,Y
2015-2016,15,75630,1530500,Kern,SBE - Ridgecrest Charter,Ridgecrest Charter,State Board of Education,Elemen Schools In 1 School Dist. (Public),Traditional,None,Y,350,Directly funded,N,K,8,421,192,45.60%,232,55.10%,414,191,46.10%,231,55.80%,Y
2015-2016,16,10165,121434,Kings,Kings County Office of Education,Kings County SELPA Preschool,County Office of Education (COE),Preschool,Special Education School,None,N,,,N,P,P,5,3,60.00%,3,60.00%,0,0,0.00%,0,0.00%,Y
2015-2016,16,10165,1630102,Kings,Kings County Office of Education,J. C. Montgomery,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,None,N,,,N,7,12,41,20,48.80%,20,48.80%,39,20,51.30%,20,51.30%,Y
2015-2016,16,10165,1630193,Kings,Kings County Office of Education,Kings County Community,County Office of Education (COE),County Community,County Community School,None,N,,,N,7,12,69,49,71.00%,49,71.00%,67,48,71.60%,48,71.60%,Y
2015-2016,16,10165,6069298,Kings,Kings County Office of Education,Kings County Special Education,County Office of Education (COE),Special Education Schools (Public),Special Education School,None,N,,,N,P,12,272,140,51.50%,164,60.30%,227,119,52.40%,136,59.90%,Y
2015-2016,16,63875,101717,Kings,Armona Union Elementary,Crossroads Charter,Elementary School District,K-12 Schools (Public),Traditional,None,Y,571,Locally funded,N,K,12,119,68,57.10%,81,68.10%,103,60,58.30%,71,68.90%,Y
2015-2016,16,63875,112698,Kings,Armona Union Elementary,California Virtual Academy @ Kings,Elementary School District,K-12 Schools (Public),Traditional,None,Y,840,Directly funded,Y,K,12,484,230,47.50%,289,59.70%,459,210,45.80%,268,58.40%,Y
2015-2016,16,63875,6010276,Kings,Armona Union Elementary,Armona Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,4,565,480,85.00%,535,94.70%,556,473,85.10%,526,94.60%,Y
2015-2016,16,63875,6010284,Kings,Armona Union Elementary,Parkview Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,5,8,440,373,84.80%,415,94.30%,440,373,84.80%,415,94.30%,Y
2015-2016,16,63883,6010292,Kings,Central Union Elementary,Akers Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,P,8,646,102,15.80%,261,40.40%,646,102,15.80%,261,40.40%,Y
