Academic Year,County Code,District Code,School Code,County_Name,District Name,School Name,District Type,School Type,"Educational  Option Type","NSLP  Provision  Status","Charter  School  (Y/N)","Charter  School  Number","Charter  Funding  Type",IRC,Low Grade,High Grade,"Enrollment  (K-12)",FreemealsK12,Percent_K12,"FRPM Count  (K-12)","Percent (%)  Eligible FRPM  (K-12)","Enrollment  (Ages 5-17)","Free Meal  Count  (Ages 5-17)","Percent (%)  Eligible Free  (Ages 5-17)","FRPM Count  (Ages 5-17)","Percent (%)  Eligible FRPM  (Ages 5-17)","2015-16  CALPADS Fall 1  Certification Status"
2015-2016,19,64832,6066773,Los Angeles,Newhall,Old Orchard Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,464,167,36.00%,188,40.50%,453,164,36.20%,184,40.60%,Y
2015-2016,19,64832,6095442,Los Angeles,Newhall,Meadows Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,645,99,15.30%,141,21.90%,641,99,15.40%,141,22.00%,Y
2015-2016,19,64832,6107171,Los Angeles,Newhall,Valencia Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,690,74,10.70%,108,15.70%,680,74,10.90%,108,15.90%,Y
2015-2016,19,64832,6113047,Los Angeles,Newhall,Stevenson Ranch Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,793,47,5.90%,58,7.30%,783,47,6.00%,58,7.40%,Y
2015-2016,19,64840,1,Los Angeles,Norwalk-La Mirada Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,17,6,35.30%,6,35.30%,15,6,40.00%,6,40.00%,Y
2015-2016,19,64840,1933647,Los Angeles,Norwalk-La Mirada Unified,John H. Glenn High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1450,1031,71.10%,1177,81.20%,1404,1008,71.80%,1150,81.90%,Y
2015-2016,19,64840,1934728,Los Angeles,Norwalk-La Mirada Unified,La Mirada High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2098,821,39.10%,1011,48.20%,2056,803,39.10%,993,48.30%,Y
2015-2016,19,64840,1936467,Los Angeles,Norwalk-La Mirada Unified,Norwalk High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2002,1469,73.40%,1667,83.30%,1964,1438,73.20%,1635,83.20%,Y
2015-2016,19,64840,1936475,Los Angeles,Norwalk-La Mirada Unified,El Camino High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,304,200,65.80%,221,72.70%,236,159,67.40%,173,73.30%,Y
2015-2016,19,64840,6020838,Los Angeles,Norwalk-La Mirada Unified,Anna M. Glazier Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,524,362,69.10%,431,82.30%,510,353,69.20%,419,82.20%,Y
2015-2016,19,64840,6020846,Los Angeles,Norwalk-La Mirada Unified,Arlie F. Hutchinson Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,606,266,43.90%,324,53.50%,606,266,43.90%,324,53.50%,Y
2015-2016,19,64840,6020853,Los Angeles,Norwalk-La Mirada Unified,Cesar Chavez Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,414,342,82.60%,372,89.90%,399,329,82.50%,359,90.00%,Y
2015-2016,19,64840,6020887,Los Angeles,Norwalk-La Mirada Unified,Corvallis Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,738,563,76.30%,638,86.40%,738,563,76.30%,638,86.40%,Y
2015-2016,19,64840,6020895,Los Angeles,Norwalk-La Mirada Unified,D. D. Johnston Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,394,299,75.90%,339,86.00%,394,299,75.90%,339,86.00%,Y
2015-2016,19,64840,6020903,Los Angeles,Norwalk-La Mirada Unified,Eastwood Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,476,153,32.10%,170,35.70%,476,153,32.10%,170,35.70%,Y
2015-2016,19,64840,6020911,Los Angeles,Norwalk-La Mirada Unified,Loretta Lampton Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,680,426,62.60%,506,74.40%,663,420,63.30%,498,75.10%,Y
2015-2016,19,64840,6020929,Los Angeles,Norwalk-La Mirada Unified,Escalona Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,590,191,32.40%,254,43.10%,590,191,32.40%,254,43.10%,Y
2015-2016,19,64840,6020937,Los Angeles,Norwalk-La Mirada Unified,Foster Road Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,363,258,71.10%,291,80.20%,347,247,71.20%,279,80.40%,Y
2015-2016,19,64840,6020945,Los Angeles,Norwalk-La Mirada Unified,Gardenhill Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,758,287,37.90%,338,44.60%,758,287,37.90%,338,44.60%,Y
2015-2016,19,64840,6020952,Los Angeles,Norwalk-La Mirada Unified,Earl E. Edmondson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,490,402,82.00%,444,90.60%,481,395,82.10%,436,90.60%,Y
2015-2016,19,64840,6020994,Los Angeles,Norwalk-La Mirada Unified,John Dolland Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,610,466,76.40%,533,87.40%,597,457,76.50%,524,87.80%,Y
2015-2016,19,64840,6021000,Los Angeles,Norwalk-La Mirada Unified,John Foster Dulles Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,233,99,42.50%,115,49.40%,221,97,43.90%,112,50.70%,Y
2015-2016,19,64840,6021018,Los Angeles,Norwalk-La Mirada Unified,John H. Nuffer Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,374,312,83.40%,331,88.50%,374,312,83.40%,331,88.50%,Y
2015-2016,19,64840,6021026,Los Angeles,Norwalk-La Mirada Unified,Julia B. Morrison Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,795,564,70.90%,648,81.50%,778,551,70.80%,634,81.50%,Y
2015-2016,19,64840,6021034,Los Angeles,Norwalk-La Mirada Unified,La Pluma Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,483,181,37.50%,227,47.00%,466,178,38.20%,223,47.90%,Y
2015-2016,19,64840,6021042,Los Angeles,Norwalk-La Mirada Unified,Los Alisos Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,1256,884,70.40%,1039,82.70%,1256,884,70.40%,1039,82.70%,Y
2015-2016,19,64840,6021075,Los Angeles,Norwalk-La Mirada Unified,Nettie L. Waite Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,672,540,80.40%,603,89.70%,672,540,80.40%,603,89.70%,Y
2015-2016,19,64840,6021083,Los Angeles,Norwalk-La Mirada Unified,New River Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,443,335,75.60%,381,86.00%,443,335,75.60%,381,86.00%,Y
2015-2016,19,64840,6021091,Los Angeles,Norwalk-La Mirada Unified,Arturo Sanchez Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,349,304,87.10%,326,93.40%,349,304,87.10%,326,93.40%,Y
2015-2016,19,64840,6021125,Los Angeles,Norwalk-La Mirada Unified,Reginald M. Benton Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,504,216,42.90%,266,52.80%,504,216,42.90%,266,52.80%,Y
2015-2016,19,64840,6021133,Los Angeles,Norwalk-La Mirada Unified,Thomas B. Moffitt Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,458,334,72.90%,383,83.60%,458,334,72.90%,383,83.60%,Y
2015-2016,19,64840,6116347,Los Angeles,Norwalk-La Mirada Unified,Los Coyotes Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,623,201,32.30%,239,38.40%,623,201,32.30%,239,38.40%,Y
2015-2016,19,64857,102269,Los Angeles,Palmdale Elementary,Yellen Learning Center,Elementary School District,Special Education Schools (Public),Special Education School,None,N,,,N,K,8,76,66,86.80%,70,92.10%,76,66,86.80%,70,92.10%,Y
2015-2016,19,64857,105981,Los Angeles,Palmdale Elementary,Desert Willow Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,664,482,72.60%,560,84.30%,664,482,72.60%,560,84.30%,Y
2015-2016,19,64857,112714,Los Angeles,Palmdale Elementary,Antelope Valley Learning Academy,Elementary School District,Elementary Schools (Public),Traditional,None,Y,841,Directly funded,Y,K,12,1171,858,73.30%,982,83.90%,697,483,69.30%,569,81.60%,Y
2015-2016,19,64857,116558,Los Angeles,Palmdale Elementary,Oak Tree Community Day,Elementary School District,District Community Day Schools,Community Day School,None,N,,,N,K,8,40,36,90.00%,40,100.00%,40,36,90.00%,40,100.00%,Y
2015-2016,19,64857,124156,Los Angeles,Palmdale Elementary,Dos Caminos,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,8,563,334,59.30%,415,73.70%,563,334,59.30%,415,73.70%,Y
2015-2016,19,64857,125377,Los Angeles,Palmdale Elementary,Palmdale Aerospace Academy,Elementary School District,K-12 Schools (Public),Traditional,None,Y,1367,Directly funded,Y,K,12,1084,711,65.60%,886,81.70%,1084,711,65.60%,886,81.70%,Y
2015-2016,19,64857,126268,Los Angeles,Palmdale Elementary,David G. Millen Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,910,678,74.50%,760,83.50%,910,678,74.50%,760,83.50%,Y
2015-2016,19,64857,129973,Los Angeles,Palmdale Elementary,Tamarisk,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,831,784,94.30%,824,99.20%,813,766,94.20%,806,99.10%,Y
2015-2016,19,64857,133173,Los Angeles,Palmdale Elementary,Innovations Academy of Palmdale,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,8,54,21,38.90%,21,38.90%,54,21,38.90%,21,38.90%,Y
2015-2016,19,64857,6021141,Los Angeles,Palmdale Elementary,Ocotillo Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,1032,650,63.00%,763,73.90%,1012,638,63.00%,748,73.90%,Y
2015-2016,19,64857,6021158,Los Angeles,Palmdale Elementary,Manzanita Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,756,666,88.10%,710,93.90%,739,650,88.00%,693,93.80%,Y
2015-2016,19,64857,6021190,Los Angeles,Palmdale Elementary,Tumbleweed Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,1032,888,86.00%,967,93.70%,1011,869,86.00%,948,93.80%,Y
2015-2016,19,64857,6021208,Los Angeles,Palmdale Elementary,Yucca Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,782,731,93.50%,760,97.20%,768,720,93.80%,748,97.40%,Y
2015-2016,19,64857,6105613,Los Angeles,Palmdale Elementary,Cactus Middle,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,823,665,80.80%,733,89.10%,823,665,80.80%,733,89.10%,Y
2015-2016,19,64857,6105621,Los Angeles,Palmdale Elementary,Desert Rose Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,990,778,78.60%,874,88.30%,967,761,78.70%,852,88.10%,Y
2015-2016,19,64857,6106793,Los Angeles,Palmdale Elementary,Joshua Hills Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,758,591,78.00%,696,91.80%,742,578,77.90%,682,91.90%,Y
2015-2016,19,64857,6106900,Los Angeles,Palmdale Elementary,Chaparral Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,886,710,80.10%,812,91.60%,871,700,80.40%,797,91.50%,Y
2015-2016,19,64857,6107635,Los Angeles,Palmdale Elementary,Palm Tree Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,711,557,78.30%,636,89.50%,682,534,78.30%,611,89.60%,Y
2015-2016,19,64857,6108609,Los Angeles,Palmdale Elementary,Buena Vista Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,743,519,69.90%,623,83.80%,727,508,69.90%,609,83.80%,Y
2015-2016,19,64857,6108625,Los Angeles,Palmdale Elementary,Mesquite Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,885,685,77.40%,785,88.70%,867,670,77.30%,767,88.50%,Y
2015-2016,19,64857,6108633,Los Angeles,Palmdale Elementary,Summerwind Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,841,593,70.50%,685,81.50%,825,580,70.30%,671,81.30%,Y
2015-2016,19,64857,6111538,Los Angeles,Palmdale Elementary,Barrel Springs Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,750,550,73.30%,623,83.10%,740,542,73.20%,615,83.10%,Y
2015-2016,19,64857,6111546,Los Angeles,Palmdale Elementary,Palmdale Learning Plaza,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,802,525,65.50%,617,76.90%,801,525,65.50%,617,77.00%,Y
2015-2016,19,64857,6113906,Los Angeles,Palmdale Elementary,Cimarron Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,741,538,72.60%,634,85.60%,724,525,72.50%,619,85.50%,Y
2015-2016,19,64857,6115273,Los Angeles,Palmdale Elementary,Quail Valley Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,765,553,72.30%,662,86.50%,755,544,72.10%,653,86.50%,Y
2015-2016,19,64857,6115281,Los Angeles,Palmdale Elementary,Shadow Hills Intermediate,Elementary School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,7,8,873,596,68.30%,731,83.70%,873,596,68.30%,731,83.70%,Y
2015-2016,19,64857,6118749,Los Angeles,Palmdale Elementary,Golden Poppy Elementary,Elementary School District,Elementary Schools (Public),Traditional,None,N,,,N,K,6,812,570,70.20%,678,83.50%,802,563,70.20%,670,83.50%,Y
2015-2016,19,64857,6119143,Los Angeles,Palmdale Elementary,Los Amigos,Elementary School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,8,958,573,59.80%,752,78.50%,958,573,59.80%,752,78.50%,Y
2015-2016,19,64857,6119580,Los Angeles,Palmdale Elementary,Guidance Charter,Elementary School District,K-12 Schools (Public),Traditional,None,Y,427,Directly funded,Y,K,12,673,546,81.10%,600,89.20%,673,546,81.10%,600,89.20%,Y
2015-2016,19,64865,1,Los Angeles,Palos Verdes Peninsula Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,24,0,0.00%,0,0.00%,24,0,0.00%,0,0.00%,Y
2015-2016,19,64865,1933308,Los Angeles,Palos Verdes Peninsula Unified,Rancho del Mar High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,10,12,72,11,15.30%,11,15.30%,65,9,13.80%,9,13.80%,Y
2015-2016,19,64865,1995588,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Peninsula High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,2519,78,3.10%,95,3.80%,2432,75,3.10%,92,3.80%,Y
2015-2016,19,64865,1996552,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1716,30,1.70%,38,2.20%,1643,30,1.80%,38,2.30%,Y
2015-2016,19,64865,6021240,Los Angeles,Palos Verdes Peninsula Unified,Lunada Bay Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,341,5,1.50%,7,2.10%,336,5,1.50%,7,2.10%,Y
2015-2016,19,64865,6021257,Los Angeles,Palos Verdes Peninsula Unified,Palos Verdes Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,889,12,1.30%,16,1.80%,889,12,1.30%,16,1.80%,Y
2015-2016,19,64865,6021273,Los Angeles,Palos Verdes Peninsula Unified,Mira Catalina Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,406,20,4.90%,22,5.40%,397,19,4.80%,21,5.30%,Y
2015-2016,19,64865,6021299,Los Angeles,Palos Verdes Peninsula Unified,Montemalaga Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,494,12,2.40%,13,2.60%,487,12,2.50%,13,2.70%,Y
2015-2016,19,64865,6021307,Los Angeles,Palos Verdes Peninsula Unified,Cornerstone at Pedregal Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,403,3,0.70%,5,1.20%,403,3,0.70%,5,1.20%,Y
2015-2016,19,64865,6021315,Los Angeles,Palos Verdes Peninsula Unified,Point Vicente Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,374,27,7.20%,32,8.60%,368,26,7.10%,31,8.40%,Y
2015-2016,19,64865,6021323,Los Angeles,Palos Verdes Peninsula Unified,Rancho Vista Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,443,10,2.30%,14,3.20%,440,10,2.30%,14,3.20%,Y
2015-2016,19,64865,6021331,Los Angeles,Palos Verdes Peninsula Unified,Miraleste Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,848,41,4.80%,51,6.00%,848,41,4.80%,51,6.00%,Y
2015-2016,19,64865,6021349,Los Angeles,Palos Verdes Peninsula Unified,Silver Spur Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,547,7,1.30%,8,1.50%,538,7,1.30%,8,1.50%,Y
2015-2016,19,64865,6021356,Los Angeles,Palos Verdes Peninsula Unified,Soleado Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,459,15,3.30%,18,3.90%,451,15,3.30%,18,4.00%,Y
2015-2016,19,64865,6021372,Los Angeles,Palos Verdes Peninsula Unified,Vista Grande Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,439,10,2.30%,10,2.30%,429,10,2.30%,10,2.30%,Y
2015-2016,19,64865,6116172,Los Angeles,Palos Verdes Peninsula Unified,Dapplegray Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,599,23,3.80%,24,4.00%,588,22,3.70%,23,3.90%,Y
2015-2016,19,64865,6117584,Los Angeles,Palos Verdes Peninsula Unified,Ridgecrest Intermediate,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,926,21,2.30%,29,3.10%,926,21,2.30%,29,3.10%,Y
2015-2016,19,64873,0,Los Angeles,Paramount Unified,District Office,Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,K,Adult,19,2,10.50%,2,10.50%,19,2,10.50%,2,10.50%,Y
2015-2016,19,64873,1,Los Angeles,Paramount Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,37,7,18.90%,7,18.90%,36,7,19.40%,7,19.40%,Y
2015-2016,19,64873,102681,Los Angeles,Paramount Unified,Leona Jackson,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,4,8,805,679,84.30%,745,92.50%,805,679,84.30%,745,92.50%,Y
2015-2016,19,64873,108779,Los Angeles,Paramount Unified,Howard Tanner,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,594,528,88.90%,568,95.60%,582,516,88.70%,556,95.50%,Y
2015-2016,19,64873,119438,Los Angeles,Paramount Unified,Paramount Park Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,786,656,83.50%,726,92.40%,786,656,83.50%,726,92.40%,Y
2015-2016,19,64873,119446,Los Angeles,Paramount Unified,Alondra Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,955,808,84.60%,886,92.80%,955,808,84.60%,886,92.80%,Y
2015-2016,19,64873,120378,Los Angeles,Paramount Unified,Paramount Alternative Education Center,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,6,12,43,22,51.20%,22,51.20%,12,8,66.70%,8,66.70%,Y
2015-2016,19,64873,1936749,Los Angeles,Paramount Unified,Paramount High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,4794,3848,80.30%,4374,91.20%,4715,3781,80.20%,4302,91.20%,Y
2015-2016,19,64873,1936756,Los Angeles,Paramount Unified,Buena Vista High,Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,205,169,82.40%,186,90.70%,165,131,79.40%,147,89.10%,Y
2015-2016,19,64873,1996107,Los Angeles,Paramount Unified,Paramount Unified Community Day,Unified School District,District Community Day Schools,Community Day School,None,N,,,N,7,12,24,20,83.30%,24,100.00%,24,20,83.30%,24,100.00%,Y
2015-2016,19,64873,6021380,Los Angeles,Paramount Unified,Captain Raymond Collins,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,549,465,84.70%,505,92.00%,538,456,84.80%,494,91.80%,Y
2015-2016,19,64873,6021398,Los Angeles,Paramount Unified,Wesley Gaines,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,3,412,352,85.40%,391,94.90%,398,339,85.20%,377,94.70%,Y
2015-2016,19,64873,6021414,Los Angeles,Paramount Unified,Hollydale,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,8,1077,851,79.00%,970,90.10%,1062,839,79.00%,957,90.10%,Y
2015-2016,19,64873,6021430,Los Angeles,Paramount Unified,Abraham Lincoln,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,636,518,81.40%,581,91.40%,625,508,81.30%,571,91.40%,Y
2015-2016,19,64873,6021448,Los Angeles,Paramount Unified,Los Cerritos,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,613,520,84.80%,581,94.80%,602,510,84.70%,571,94.90%,Y
2015-2016,19,64873,6021455,Los Angeles,Paramount Unified,Mark Keppel,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,533,456,85.60%,503,94.40%,514,441,85.80%,484,94.20%,Y
2015-2016,19,64873,6021463,Los Angeles,Paramount Unified,Major Lynn Mokler,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,723,639,88.40%,689,95.30%,708,625,88.30%,674,95.20%,Y
2015-2016,19,64873,6021471,Los Angeles,Paramount Unified,Theodore Roosevelt,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,719,633,88.00%,683,95.00%,706,622,88.10%,672,95.20%,Y
2015-2016,19,64873,6021489,Los Angeles,Paramount Unified,Harry Wirtz Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,640,545,85.20%,611,95.50%,618,526,85.10%,590,95.50%,Y
2015-2016,19,64873,6114615,Los Angeles,Paramount Unified,Frank J. Zamboni,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,929,802,86.30%,864,93.00%,929,802,86.30%,864,93.00%,Y
2015-2016,19,64873,6117444,Los Angeles,Paramount Unified,Jefferson Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,454,372,81.90%,422,93.00%,453,371,81.90%,421,92.90%,Y
2015-2016,19,64881,0,Los Angeles,Pasadena Unified,District Office,Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,K,Adult,11,3,27.30%,3,27.30%,11,3,27.30%,3,27.30%,Y
2015-2016,19,64881,1,Los Angeles,Pasadena Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,None,N/A,N/A,N/A,N/A,,,104,41,39.40%,41,39.40%,91,37,40.70%,37,40.70%,Y
2015-2016,19,64881,113464,Los Angeles,Pasadena Unified,Aveson Global Leadership Academy,Unified School District,High Schools (Public),Traditional,None,Y,847,Directly funded,Y,6,12,414,101,24.40%,133,32.10%,402,100,24.90%,130,32.30%,Y
2015-2016,19,64881,113472,Los Angeles,Pasadena Unified,Aveson School of Leaders,Unified School District,Elementary Schools (Public),Traditional,None,Y,848,Directly funded,Y,K,5,439,27,6.20%,50,11.40%,416,27,6.50%,49,11.80%,Y
2015-2016,19,64881,113894,Los Angeles,Pasadena Unified,Pasadena Rosebud Academy,Unified School District,Elementary Schools (Public),Traditional,None,Y,857,Directly funded,Y,K,4,146,53,36.30%,78,53.40%,146,53,36.30%,78,53.40%,Y
2015-2016,19,64881,117440,Los Angeles,Pasadena Unified,CIS Academy,Unified School District,Alternative Schools of Choice,Alternative School of Choice,None,N,,,N,K,12,212,86,40.60%,96,45.30%,135,62,45.90%,69,51.10%,Y
2015-2016,19,64881,118075,Los Angeles,Pasadena Unified,Learning Works,Unified School District,High Schools (Public),Traditional,None,Y,1031,Directly funded,Y,7,12,276,228,82.60%,252,91.30%,136,120,88.20%,126,92.60%,Y
2015-2016,19,64881,127746,Los Angeles,Pasadena Unified,Sierra Madre Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,N,,,N,6,8,446,74,16.60%,107,24.00%,446,74,16.60%,107,24.00%,Y
2015-2016,19,64881,128017,Los Angeles,Pasadena Unified,Pasadena Rosebud Academy Middle,Unified School District,Intermediate/Middle Schools (Public),Traditional,None,Y,1556,Directly funded,Y,7,8,39,16,41.00%,20,51.30%,39,16,41.00%,20,51.30%,Y
2015-2016,19,64881,1931062,Los Angeles,Pasadena Unified,Blair High,Unified School District,High Schools (Public),Traditional,None,N,,,N,6,12,962,529,55.00%,641,66.60%,940,521,55.40%,631,67.10%,Y
2015-2016,19,64881,1931674,Los Angeles,Pasadena Unified,Marshall Fundamental,Unified School District,High Schools (Public),Traditional,None,N,,,N,6,12,1971,973,49.40%,1247,63.30%,1946,958,49.20%,1226,63.00%,Y
2015-2016,19,64881,1932409,Los Angeles,Pasadena Unified,Norma Coombs Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,458,235,51.30%,294,64.20%,445,229,51.50%,286,64.30%,Y
2015-2016,19,64881,1936103,Los Angeles,Pasadena Unified,John Muir High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,902,611,67.70%,689,76.40%,847,575,67.90%,645,76.20%,Y
2015-2016,19,64881,1936806,Los Angeles,Pasadena Unified,Rose City High (Continuation),Unified School District,Continuation High Schools,Continuation School,None,N,,,N,9,12,265,123,46.40%,131,49.40%,150,85,56.70%,92,61.30%,Y
2015-2016,19,64881,1936822,Los Angeles,Pasadena Unified,Pasadena High,Unified School District,High Schools (Public),Traditional,None,N,,,N,9,12,1871,853,45.60%,1130,60.40%,1798,820,45.60%,1088,60.50%,Y
2015-2016,19,64881,6021505,Los Angeles,Pasadena Unified,Altadena Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,285,216,75.80%,238,83.50%,285,216,75.80%,238,83.50%,Y
2015-2016,19,64881,6021547,Los Angeles,Pasadena Unified,Cleveland Elementary,Unified School District,Elementary Schools (Public),Traditional,Provision 2,N,,,N,K,5,193,163,84.50%,176,91.20%,193,163,84.50%,176,91.20%,Y
2015-2016,19,64881,6021554,Los Angeles,Pasadena Unified,Don Benito Fundamental,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,608,184,30.30%,248,40.80%,608,184,30.30%,248,40.80%,Y
2015-2016,19,64881,6021570,Los Angeles,Pasadena Unified,Field (Eugene) Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,502,106,21.10%,144,28.70%,502,106,21.10%,144,28.70%,Y
2015-2016,19,64881,6021588,Los Angeles,Pasadena Unified,Franklin Elementary,Unified School District,Elementary Schools (Public),Traditional,None,N,,,N,K,5,263,203,77.20%,231,87.80%,263,203,77.20%,231,87.80%,Y
